Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,SRS.SOS,NFL.Rushing.Avg
4.6,3,4,12.8,0,5.1,3,40.625,6.375,47,8.75,5.31,3.7
4.5,8,7,4.4,0,4.5,8,101,2.8181818181818183,103.81818181818181,22.363636363636363,6.51,3.75
4.3,2,29,7.1,3,5,5,83.4,41,124.4,19.2,3.23,3.6
4.2,11,1,16,1,4.3,12,54,1.3333333333333333,55.333333333333336,12.833333333333334,-5.55,4.3
3.9,7,25,7.4,1,4.5,8,51.18181818181818,16.818181818181817,68,13,3.81,3.75
2.3,0,0,0,0,2.3,0,15.9,0,15.9,6.9,7.35,3.875
7.8,23,14,8.8,0,7.8,23,139.9090909090909,11.181818181818182,151.0909090909091,18,6.77,3.6
6.9,24,24,12.3,0,7.3,24,186.8181818181818,26.727272727272727,213.54545454545453,27.09090909090909,3.9,3.55
6.8,8,34,9.1,1,7.2,9,93.27272727272727,28,121.27272727272727,13.818181818181818,6.48,4.108333333333333
6,16,22,7.8,0,6.1,16,143.5,14.333333333333334,157.83333333333334,23.833333333333332,2.26,3.3
6,12,23,7.8,1,6.2,13,123,15,138,20.333333333333332,5.67,3.4
6,11,17,8.6,3,6.3,14,93.45454545454545,13.363636363636363,106.81818181818181,15.454545454545455,5.58,4.014285714285714
5.7,13,12,7.7,0,5.8,13,114.81818181818181,8.363636363636363,123.18181818181819,20.09090909090909,2.5,4.057142857142857
5.5,9,24,8.3,0,5.7,9,126.36363636363636,18.09090909090909,144.45454545454547,23.181818181818183,4.94,5
5.4,12,14,8.8,2,5.7,14,95.33333333333333,10.25,105.58333333333333,17.5,11.48,4.06
5.4,9,9,4.7,0,5.4,9,64.27272727272727,3.8181818181818183,68.0909090909091,11.818181818181818,-0.4,3.25
5.2,12,16,7.3,0,5.3,12,110.92307692307692,9,119.92307692307692,21.23076923076923,6.6,3.611111111111111
5.1,8,29,9.3,0,5.7,8,72.75,22.583333333333332,95.33333333333333,14.25,6.25,4.63
5.1,10,12,11.5,1,5.7,11,73.22222222222223,15.333333333333334,88.55555555555556,14.333333333333334,5.27,3.7
5,4,12,9.9,1,5.4,5,73.18181818181819,10.818181818181818,84,14.545454545454545,6.34,4.3
4.9,12,8,5.5,0,5,12,80.44444444444444,4.888888888888889,85.33333333333333,16.333333333333332,3.33,4.014285714285714
4.9,3,19,6.6,0,5.2,3,59.1,12.6,71.7,12,-0.46,4.7125
4.6,1,7,11.9,0,5,1,50.54545454545455,7.545454545454546,58.09090909090909,10.909090909090908,9.65,3
4.6,6,31,10.6,0,6.1,6,40.45454545454545,30,70.45454545454545,8.818181818181818,4.17,4.64
4.4,12,17,13.8,4,5.1,16,78.9090909090909,21.363636363636363,100.27272727272727,18.09090909090909,-0.4,3.8
4.4,5,5,2,0,4.3,5,47.63636363636363,0.9090909090909091,48.54545454545455,10.909090909090908,1.41,4.516666666666667
4.2,4,6,7.3,0,4.3,4,52,4.4,56.4,12.5,6.83,2.3
4,2,18,8.6,1,4.5,3,49.27272727272727,14.090909090909092,63.36363636363637,12.363636363636363,5.27,3.5666666666666664
7.7,13,12,8.5,3,7.8,16,98.72727272727273,9.272727272727273,108,12.818181818181818,3.78,4.275
7.7,9,4,3.5,0,7.5,9,109.4,2.8,112.2,14.2,3.78,3.3
7.5,13,43,6.8,3,7.3,16,112.9090909090909,26.727272727272727,139.63636363636363,15.090909090909092,1.61,4.108333333333333
6.1,9,19,11.4,1,6.6,10,100.1,21.6,121.7,16.5,3.43,3.7
6,8,16,14,0,6.7,8,82.5,18.666666666666668,101.16666666666667,13.833333333333334,1.5,4.125
6,4,0,0,0,6,4,62.09090909090909,0,62.09090909090909,10.272727272727273,8.28,3.2
5.9,24,47,8.9,1,6.3,25,148.23076923076923,32.07692307692308,180.30769230769232,25.23076923076923,8.6,3.611111111111111
5.9,14,10,12.8,3,6.3,17,97.0909090909091,11.636363636363637,108.72727272727273,16.363636363636363,1.79,4.057142857142857
5.9,9,1,6,0,5.9,9,69.5,0.5,70,11.75,-1.8,3.8
5.8,15,14,11.4,1,6,16,182.72727272727272,14.454545454545455,197.1818181818182,31.363636363636363,2.32,3.6
5.8,15,21,8.7,0,6.1,15,87,16.636363636363637,103.63636363636364,15.090909090909092,6.19,3.7
5.8,8,31,7.6,2,6.2,10,66.9090909090909,21.454545454545453,88.36363636363636,11.545454545454545,2.27,4.016666666666667
5.6,4,13,6.8,0,5.7,4,53.90909090909091,8.090909090909092,62,9.636363636363637,0.46,3.2
5.4,17,19,8.1,0,5.6,17,145.45454545454547,13.909090909090908,159.36363636363637,26.727272727272727,5.82,4.3
5.3,12,20,9.4,1,5.6,13,130.91666666666666,15.666666666666666,146.58333333333334,24.666666666666668,3.73,3.466666666666667
5.3,14,22,9.8,2,5.6,16,116.41666666666667,18,134.41666666666666,22.083333333333332,1.84,4.7125
4.9,6,5,17.2,1,5.2,7,85.2,8.6,93.8,17.4,2.77,4.2
4.6,17,27,6.2,1,4.7,18,148.75,14,162.75,32.25,9.27,3
4.6,13,25,15.2,3,5.5,16,112.2,37.9,150.1,24.6,1.03,3.25
4.4,7,15,7.4,0,4.7,7,56.1,11.1,67.2,12.7,-4.62,3.82
4,5,8,7.1,0,4.1,5,95.54545454545455,5.181818181818182,100.72727272727273,24,9.31,2.3
4,5,13,9.4,0,4.4,5,60.8,12.2,73,15.2,4.38,3.8
3.9,4,8,8.4,0,4.3,4,31.818181818181817,6.090909090909091,37.90909090909091,8.181818181818182,0.36,3.4
3.9,2,10,12.1,1,4.7,3,33.8,12.1,45.9,8.7,3.43,3.5666666666666664
3.9,5,15,6.1,0,4.2,5,33.4,9.1,42.5,8.6,9.94,3.9
7.6,6,7,7.6,0,7.6,6,53.54545454545455,4.818181818181818,58.36363636363637,7,4.2,4.242857142857143
6.5,21,14,9.5,0,6.6,21,162.23076923076923,10.23076923076923,172.46153846153845,25,2.07,3.8249999999999997
6.2,12,25,11.6,2,6.8,14,106,24.25,130.25,17.083333333333332,5.03,4.125
6.2,12,30,11.8,2,7,14,107.27272727272727,32.27272727272727,139.54545454545453,17.181818181818183,5.79,4.108333333333333
6.1,14,28,7.2,1,6.3,15,112.63636363636364,18.272727272727273,130.9090909090909,18.363636363636363,2.43,3.8
6,5,8,15,0,6.7,5,69.88888888888889,13.333333333333334,83.22222222222223,11.555555555555555,5.3,4.63
5.9,7,9,10.3,0,6.2,7,91.7,9.3,101,15.5,6.53,4.275
5.9,13,4,18.5,0,6.3,13,98.88888888888889,8.222222222222221,107.11111111111111,16.666666666666668,2.43,3.2
5.8,9,10,8,0,6,9,122.75,10,132.75,21,-1.66,3.8
5.7,22,15,18.2,1,6.4,23,141.36363636363637,24.818181818181817,166.1818181818182,24.636363636363637,5.94,4.26
5.4,21,13,4.9,0,5.4,21,198.63636363636363,5.818181818181818,204.45454545454547,36.54545454545455,4.73,3.6
5.4,14,22,11.7,0,5.9,14,123.63636363636364,23.454545454545453,147.0909090909091,22.727272727272727,3.03,4.7125
5.4,13,32,9.1,1,5.9,14,100.83333333333333,24.25,125.08333333333333,18.666666666666668,4.43,3.2
5.3,13,15,7.3,0,5.4,13,102.9090909090909,9.909090909090908,112.81818181818181,19.454545454545453,-3.31,3.82
5.2,17,26,7.5,1,5.4,18,132,17.818181818181817,149.8181818181818,25.454545454545453,2.84,3
5.2,13,10,13.4,0,5.5,13,116.54545454545455,12.181818181818182,128.72727272727272,22.545454545454547,1.5,4.2
5.1,9,28,9,0,5.6,9,101.45454545454545,23,124.45454545454545,19.818181818181817,4.6,4.016666666666667
4.9,12,23,10.5,1,5.4,13,116.45454545454545,21.90909090909091,138.36363636363637,23.636363636363637,6.49,2.3
4.9,12,1,7,0,4.9,12,54.63636363636363,0.6363636363636364,55.27272727272727,11.181818181818182,-8.12,3
4.7,9,16,3.7,1,4.6,10,94.0909090909091,5.363636363636363,99.45454545454545,20.181818181818183,1.46,3.6666666666666665
4.7,2,18,8.4,1,5.1,3,69.81818181818181,13.818181818181818,83.63636363636364,14.818181818181818,3.81,3.5666666666666664
4.6,17,21,13.5,3,5.4,20,94,25.727272727272727,119.72727272727273,20.363636363636363,6.94,3.5
4.3,9,23,8.7,1,4.8,10,72.72727272727273,18.09090909090909,90.81818181818181,16.727272727272727,6.01,3.8
8.3,3,1,11,0,8.3,3,149,2.75,151.75,18,4.76,3.2
7.3,6,10,5.2,0,7.1,6,66.11111111111111,5.777777777777778,71.88888888888889,9,-3.31,3.25
6.8,25,20,7.5,0,6.8,25,172.0909090909091,13.636363636363637,185.72727272727272,25.363636363636363,0.1,4.125
6.8,22,14,7.5,0,6.8,22,156.41666666666666,8.75,165.16666666666666,23.166666666666668,2.53,4.275
6.2,8,15,9.7,1,6.5,9,107.75,18.25,126,17.375,8.07,3.7
6.1,7,15,12.4,1,6.7,8,86.5,18.6,105.1,14.2,3.85,3.2
6,19,25,8.6,1,6.2,20,113.58333333333333,17.916666666666668,131.5,19,2.4,3.2
6,13,24,9.9,0,6.4,13,117.45454545454545,21.636363636363637,139.0909090909091,19.454545454545453,8.9,4.63
6,13,19,13.2,1,6.6,14,109.8,25,134.8,18.4,-3.31,4.06
5.9,7,23,11.6,2,6.4,9,113.66666666666667,22.166666666666668,135.83333333333334,19.333333333333332,10.56,4.088888888888889
5.8,4,3,8,0,5.9,4,100.5,3,103.5,17.25,6.66,4.2
5.7,18,16,8.2,0,5.8,18,144.45454545454547,11.909090909090908,156.36363636363637,25.545454545454547,-2.63,3.6666666666666665
5.6,15,16,5.8,0,5.6,15,127.11111111111111,10.333333333333334,137.44444444444446,22.77777777777778,4.76,4.2
5.5,15,10,11.7,0,5.8,15,132.45454545454547,10.636363636363637,143.0909090909091,23.90909090909091,1.58,3.8249999999999997
5.5,12,23,9.3,1,6,13,90.8,21.4,112.2,16.5,5.59,3.8
5.3,4,4,9.8,1,5.4,5,74,3.5454545454545454,77.54545454545455,14,-4.66,3.8
5.3,5,18,7.9,0,5.6,5,54.90909090909091,13,67.9090909090909,10.454545454545455,8.94,3.5
5.2,25,23,6,0,5.3,25,140.8181818181818,12.545454545454545,153.36363636363637,26.90909090909091,-5.85,3
