Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Rico Tyler,West Virginia,Ind,11,4.9,3,15,7.9,1,5.3,4,41.36363636363637,10.818181818181818,52.18181818181818,8.454545454545455,19.7,-0.42,0.364
1990,Rongea Hill,SMU,SWC,11,4.9,0,25,10.4,0,6.2,0,37.27272727272727,23.727272727272727,61,7.545454545454546,17.9,0.64,0.091
1990,Willie McMillian,Army,Ind,11,4.8,9,0,0,0,4.8,9,81.81818181818181,0,81.81818181818181,17.181818181818183,26.8,-7.63,0.545
1990,Anthony Williams,Wake Forest,ACC,11,4.8,9,0,0,0,4.8,9,78.72727272727273,0,78.72727272727273,16.454545454545453,22.5,2.62,0.273
1990,Glyn Milburn,Stanford,Pac-10,11,4.8,2,64,9.9,2,6.3,4,66.27272727272727,57.45454545454545,123.72727272727273,13.818181818181818,23.9,8,0.455
1990,Vaughn Hebron,Virginia Tech,Ind,8,4.8,3,16,18.1,4,6.2,7,80,36.125,116.125,16.625,22.3,5.1,0.545
1990,Jeff Fassett,Long Beach State,Big West,11,4.8,2,6,3.7,0,4.7,2,37.09090909090909,2,39.09090909090909,7.7272727272727275,22.6,-7.91,0.545
1990,Trevor Cobb,Rice,SWC,11,4.7,10,36,8.7,0,5.1,10,120.45454545454545,28.363636363636363,148.8181818181818,25.727272727272727,23.3,1.05,0.455
1990,Leonard Russell,Arizona State,Pac-10,11,4.7,9,22,11.7,1,5.4,10,73.63636363636364,23.363636363636363,97,15.818181818181818,24.7,5.4,0.364
1990,Terry Strong,Cincinnati,Ind,11,4.7,5,15,7.7,0,4.9,5,73,10.454545454545455,83.45454545454545,15.636363636363637,15.6,-1.6,0.091
1990,Rodney Culver,Notre Dame,Ind,11,4.7,5,13,11.2,2,5.2,7,64.54545454545455,13.181818181818182,77.72727272727273,13.636363636363637,29.9,9.23,0.75
1990,Curvin Richards,Pitt,Ind,8,4.7,2,11,9.2,0,5,2,85.25,12.625,97.875,18.125,21.8,4.4,0.318
1990,Rodney Lewis,Air Force,WAC,11,4.7,3,3,9.7,0,4.8,3,49.36363636363637,2.6363636363636362,52,10.545454545454545,21.8,-0.22,0.583
1990,Carmichael Moore,Baylor,SWC,11,4.7,4,2,6,0,4.7,4,48.36363636363637,1.0909090909090908,49.45454545454545,10.363636363636363,20.5,2.39,0.591
1990,Michael Greene,Western Michigan,MAC,11,4.7,1,3,4.7,0,4.7,1,48.18181818181818,1.2727272727272727,49.45454545454545,10.272727272727273,22.6,-11.01,0.636
1990,Jeff Sweitzer,Akron,Ind,8,4.7,3,0,0,0,4.7,3,40.25,0,40.25,8.625,21.2,-9.15,0.318
1990,Anthony Wallace,California,Pac-10,11,4.6,5,10,6.4,0,4.6,5,91.0909090909091,5.818181818181818,96.9090909090909,20,27.1,7.13,0.625
1990,Harvey Williams,LSU,SEC,11,4.6,7,15,10.1,1,5,8,86.63636363636364,13.818181818181818,100.45454545454545,18.636363636363637,16.6,1.03,0.455
1990,Al Baker,Kentucky,SEC,11,4.6,10,35,9.1,2,5.4,12,70.9090909090909,28.818181818181817,99.72727272727273,15.454545454545455,20.7,0.48,0.364
1990,Shaumbe Wright-Fair,Washington State,Pac-10,11,4.6,4,27,12.9,3,5.8,7,67.18181818181819,31.727272727272727,98.9090909090909,14.727272727272727,26,5.27,0.273
1990,Aaron Jackson,Arkansas,SWC,11,4.6,3,4,6.8,0,4.7,3,53.45454545454545,2.4545454545454546,55.90909090909091,11.636363636363637,23.9,2.51,0.273
