Year.x,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct,NFL.Rushing.Avg,NFL.Rushing.Avg.Max
1990,Sherman Williams,Iowa State,Big 8,8,3.4,3,14,11.6,0,4.5,3,38.625,20.375,59,11.5,24.5,3.6,0.409,3.875,4.3
1990,Ed Toner,Boston College,Ind,11,3.3,3,36,7.3,3,4.5,6,24.818181818181817,23.90909090909091,48.72727272727273,7.545454545454546,17.3,3.59,0.364,7,11
1991,Calvin Jones,Nebraska,Big 8,10,8.3,14,3,8.3,0,8.3,14,90,2.5,92.5,10.8,37.8,4.98,0.792,4,4.2
1991,Marshall Faulk,San Diego State,WAC,12,7.1,21,17,11.8,2,7.5,23,119.08333333333333,16.75,135.83333333333334,16.75,32.3,-1.08,0.654,4.333333333333333,5.5
1991,Ryan Benjamin,Pacific,Big West,12,7,13,51,12,3,7.9,16,131.75,51.083333333333336,182.83333333333334,18.833333333333332,36.3,-8.3,0.417,1.7,1.7
1991,Ron Rivers,Fresno State,Big West,11,7,5,28,10.4,0,7.6,5,89.9090909090909,26.454545454545453,116.36363636363636,12.818181818181818,42.3,-11.37,0.833,4.45,5.7
1991,Tyrone Wheatley,Michigan,Big Ten,12,6.4,9,10,9,0,6.6,9,45.666666666666664,7.5,53.166666666666664,7.166666666666667,35,6.87,0.833,3.77,4.5
1991,Garrison Hearst,Georgia,SEC,11,6.3,9,16,11.1,0,6.8,9,88,16.09090909090909,104.0909090909091,13.909090909090908,28,1.04,0.75,4.29,5.1
1991,Beno Bryant,Washington,Pac-10,11,6,8,11,8.4,0,6.1,8,85.72727272727273,8.363636363636363,94.0909090909091,14.363636363636363,41.3,5.97,1,6,6
1991,Jamal Willis,Brigham Young,WAC,11,6,6,11,19,2,7.5,8,47.27272727272727,19,66.27272727272727,7.818181818181818,33.3,1.71,0.692,2.9,2.9
1991,Jerome Bettis,Notre Dame,Ind,12,5.8,16,17,11.2,4,6.3,20,81,15.833333333333334,96.83333333333333,14,35.8,6.24,0.769,3.8846153846153846,4.9
1991,Derek Brown,Nebraska,Big 8,11,5.7,14,10,8.6,0,5.8,14,119.36363636363636,7.818181818181818,127.18181818181819,20.90909090909091,37.8,4.98,0.792,3.175,3.9
1991,Jason Davis,Louisiana Tech,Ind,10,5.5,14,14,7.9,0,5.7,14,135.1,11,146.1,24.4,25.5,-10.81,0.818,0,0
